word	lemma	pos	freq
wanted	want	VBD	3006
film	film	NN	3003
behind	behind	IN	2998
issues	issue	NNS	2998
service	service	NN	2997
everything	everything	NN	2978
game	game	NN	2977
list	list	NN	2977
previously	previously	RB	2977
feel	feel	VBP	2977
became	become	VBD	2976
short	short	JJ	2974
gave	give	VBD	2972
senate	senate	NNP	2971
et	et	CC	2970
culture	culture	NN	2970
language	language	NN	2962
result	result	NN	2952
university	university	NNP	2950
began	begin	VBD	2947
campaign	campaign	NN	2945
due	due	JJ	2944
right	right	JJ	2943
rna	rna	NNP	2943
sometimes	sometime	RB	2941
increased	increase	VBN	2941
special	special	JJ	2930
wrong	wrong	JJ	2930
population	population	NN	2928
shows	show	VBZ	2921
normal	normal	JJ	2912
body	body	NN	2904
performance	performance	NN	2902
month	month	NN	2890
sites	site	NNS	2882
difference	difference	NN	2876
article	article	NN	2865
individual	individual	JJ	2864
david	david	NNP	2863
page	page	NN	2858
period	period	NN	2857
except	except	IN	2855
americans	american	NNPS	2852
ml	ml	NN	2848
drug	drug	NN	2847
despite	despite	IN	2845
nearly	nearly	RB	2844
knew	know	VBD	2844
gao	gao	NNP	2831
position	position	NN	2827
sex	sex	NN	2822
guy	guy	NN	2817
action	action	NN	2813
finally	finally	RB	2810
city	city	NNP	2800
lower	lower	JJR	2798
themselves	themselve	PRP	2797
piece	piece	NN	2791
section	section	NN	2788
g	g	NNP	2787
economic	economic	JJ	2778
goes	go	VBZ	2774
top	top	JJ	2773
car	car	NN	2773
music	music	NN	2763
policy	policy	NN	2762
asked	ask	VBD	2761
private	private	JJ	2757
friend	friend	NN	2757
reported	report	VBD	2757
tax	tax	NN	2755
had	have	VBN	2744
certain	certain	JJ	2741
size	size	NN	2739
involved	involve	VBN	2729
expected	expect	VBN	2726
morning	morning	NN	2724
personal	personal	JJ	2722
bill	bill	NNP	2715
differences	difference	NNS	2714
main	main	JJ	2713
heart	heart	NN	2713
monday	monday	NNP	2712
parents	parent	NNS	2712
department	department	NNP	2710
tuesday	tuesday	NNP	2702
strong	strong	JJ	2699
various	various	JJ	2699
c	c	SYM	2695
points	point	NNS	2692
child	child	NN	2690
long	long	RB	2686
cannot	cannot	NN	2682
industry	industry	NN	2682
air	air	NN	2679
late	late	JJ	2673
food	food	NN	2671
media	media	NNS	2670
toward	toward	IN	2669
approach	approach	NN	2669
quality	quality	NN	2669
presence	presence	NN	2663
los	lo	NNP	2662
gets	get	VBZ	2659
usually	usually	RB	2658
j	j	NNP	2657
put	put	VB	2656
coming	come	VBG	2655
community	community	NN	2653
sort	sort	NN	2644
lines	line	NNS	2643
increase	increase	NN	2640
rule	rule	NN	2634
potential	potential	JJ	2633
related	relate	VBN	2627
conditions	condition	NNS	2624
administration	administration	NN	2623
binding	binding	JJ	2619
friends	friend	NNS	2616
like	like	VBP	2616
mother	mother	NN	2615
internet	internet	NN	2613
only	only	JJ	2606
terms	term	NNS	2601
wrote	write	VBD	2600
soon	soon	RB	2587
identified	identify	VBN	2580
center	center	NN	2578
near	near	IN	2575
costs	cost	NNS	2569
g	g	SYM	2563
texas	texa	NNP	2559
class	class	NN	2556
required	require	VBN	2556
matter	matter	NN	2550
party	party	NN	2550
particular	particular	JJ	2549
slate	slate	NNP	2546
series	series	NN	2544
f	f	NN	2541
right	right	RB	2539
left	leave	VBD	2539
third	third	JJ	2537
center	center	NNP	2531
management	management	NN	2530
play	play	VB	2530
see	see	VBP	2523
deal	deal	NN	2519
greater	greater	JJR	2518
students	student	NNS	2506
director	director	NN	2505
mice	mouse	NNS	2501
rates	rate	NNS	2501
west	west	NNP	2500
states	state	NNS	2495
alone	alone	RB	2492
summer	summer	NN	2489
sunday	sunday	NNP	2484
computer	computer	NN	2482
interesting	interesting	JJ	2479
species	species	NNS	2474
wo	wo	MD	2473
factors	factor	NNS	2472
simply	simply	RB	2466
become	become	VB	2463
father	father	NN	2461
systems	system	NNS	2461
significantly	significantly	RB	2459
average	average	JJ	2458
george	george	NNP	2455
k	k	NNP	2452
try	try	VB	2451
decision	decision	NN	2449
amount	amount	NN	2448
technology	technology	NN	2442
tv	tv	NN	2442
character	character	NN	2440
journal	journal	NNP	2440
couple	couple	NN	2439
method	method	NN	2438
attention	attention	NN	2437
performed	perform	VBN	2436
methods	method	NNS	2434
agency	agency	NN	2431
please	please	VB	2431
structure	structure	NN	2427
may	may	NNP	2427
military	military	JJ	2426
o	o	NNP	2425
design	design	NN	2418
open	open	JJ	2417
previous	previous	JJ	2411
angeles	angele	NNP	2401
standard	standard	JJ	2396
domain	domain	NN	2393
product	product	NN	2392
san	san	NNP	2391
mean	mean	VBP	2391
moment	moment	NN	2385
w	w	NNP	2385
events	event	NNS	2384
range	range	NN	2383
products	product	NNS	2383
art	art	NN	2382
samples	sample	NNS	2378
wednesday	wednesday	NNP	2377
inside	inside	IN	2376
particularly	particularly	RB	2376
containing	contain	VBG	2376
web	web	NNP	2365
include	include	VBP	2363
considered	consider	VBN	2361
ways	way	NNS	2360
space	space	NN	2355
friday	friday	NNP	2347
french	french	JJ	2346
ability	ability	NN	2346
nation	nation	NN	2344
original	original	JJ	2341
pay	pay	VB	2340
upon	upon	IN	2334
corporate	corporate	JJ	2334
view	view	NN	2334
books	book	NNS	2334
production	production	NN	2333
areas	area	NNS	2331
episode	episode	NN	2323
mind	mind	NN	2313
difficult	difficult	JJ	2310
outside	outside	IN	2308
generally	generally	RB	2308
buy	buy	VB	2308
talking	talk	VBG	2308
war	war	NNP	2307
started	start	VBD	2306
seemed	seem	VBD	2298
living	live	VBG	2294
happy	happy	JJ	2291
r	r	NN	2286
written	write	VBN	2283
takes	take	VBZ	2280
china	china	NNP	2276
determine	determine	VB	2272
rest	rest	NN	2271
state	state	NNP	2270
numbers	number	NNS	2268
michael	michael	NNP	2266
like	like	VB	2263
medical	medical	JJ	2262
stories	story	NNS	2262
social	social	JJ	2260
patient	patient	NN	2259
half	half	NN	2258
thursday	thursday	NNP	2257
face	face	NN	2251
down	down	RP	2246
hope	hope	VBP	2244
il	il	NNP	2243
read	read	VB	2243
popular	popular	JJ	2242
workers	worker	NNS	2242
complex	complex	JJ	2240
wp	wp	NNP	2240
relationship	relationship	NN	2239
independent	independent	JJ	2237
court	court	NN	2237
indeed	indeed	RB	2237
thinking	think	VBG	2230
primary	primary	JJ	2228
experiments	experiment	NNS	2228
economy	economy	NN	2219
gore	gore	NNP	2218
kids	kid	NNS	2216
make	make	VBP	2216
mr	mr	NNP	2209
described	describe	VBN	2208
factor	factor	NN	2203
entire	entire	JJ	2202
time	time	NNP	2201
version	version	NN	2200
believe	believe	VBP	2198
sample	sample	NN	2197
complete	complete	JJ	2195
bill	bill	NN	2194
loss	loss	NN	2192
british	british	JJ	2189
needs	need	VBZ	2176
fun	fun	NN	2174
tissue	tissue	NN	2173
june	june	NNP	2168
www	www	NN	2166
term	term	NN	2165
beyond	beyond	IN	2159
distribution	distribution	NN	2159
record	record	NN	2159
families	family	NNS	2158
south	south	NNP	2155
determined	determine	VBN	2153
california	californium	NNP	2152
wants	want	VBZ	2152
love	love	VBP	2151
mean	mean	VB	2146
poor	poor	JJ	2139
clearly	clearly	RB	2138
highly	highly	RB	2138
source	source	NN	2133
experience	experience	NN	2121
though	though	RB	2121
and	and	UNC	2117
suggests	suggest	VBZ	2116
st	st	NNP	2113
d	d	SYM	2112
agencies	agency	NNS	2110
volume	volume	NN	2108
hour	hour	NN	2107
staff	staff	NN	2104
miles	mile	NNS	2104
march	march	NNP	2101
building	building	NN	2099
review	review	NN	2096
below	below	IN	2092
positive	positive	JJ	2084
god	god	NNP	2083
price	price	NN	2076
further	further	JJ	2074
directly	directly	RB	2074
organization	organization	NN	2073
left	leave	VBN	2071
brain	brain	NN	2069
field	field	NN	2068
gone	go	VBN	2066
nice	nice	JJ	2063
ones	one	NNS	2063
lack	lack	NN	2061
act	act	NNP	2060
rules	rule	NNS	2059
multiple	multiple	JJ	2058
collection	collection	NN	2058
obtained	obtain	VBN	2058
foreign	foreign	JJ	2054
completely	completely	RB	2054
year-old	year-old	JJ	2053
appears	appear	VBZ	2053
efforts	effort	NNS	2052
looked	look	VBD	2052
reported	report	VBN	2052
leading	lead	VBG	2051
wife	wife	NN	2043
sept	sept	NNP	2040
chance	chance	NN	2039
necessary	necessary	JJ	2034
looks	look	VBZ	2031
reaction	reaction	NN	2030
rights	rights	NNS	2026
said	say	VBN	2024
models	model	NNS	2022
min	min	NN	2021
x	x	NNP	2020
clients	client	NNS	2020
race	race	NN	2016
concentration	concentration	NN	2015
stage	stage	NN	2015
effective	effective	JJ	2014
go	go	VBP	2012
described	describe	VBD	2009
nuclear	nuclear	JJ	2008
none	none	NN	2006
leads	lead	VBZ	2006
easy	easy	JJ	1999
hair	hair	NN	1997
robert	robert	NNP	1997
board	board	NN	1996
anyway	anyway	RB	1996
front	front	NN	1993
phone	phone	NN	1991
call	call	NN	1980
apparently	apparently	RB	1979
names	name	NNS	1978
live	live	VB	1977
huge	huge	JJ	1971
access	access	NN	1970
church	church	NN	1970
thanks	thanks	NNS	1970
watching	watch	VBG	1970
television	television	NN	1964
future	future	JJ	1960
basis	basis	NN	1957
capital	capital	NN	1955
seem	seem	VBP	1953
cox	cox	NNP	1951
ask	ask	VB	1950
fine	fine	NN	1949
watch	watch	VB	1948
contrast	contrast	NN	1946
remember	remember	VB	1946
stop	stop	VB	1944
observed	observe	VBN	1942
executive	executive	NN	1940
dear	dear	RB	1940
critics	critic	NNS	1938
clinical	clinical	JJ	1937
running	run	VBG	1937
central	central	JJ	1936
certainly	certainly	RB	1935
playing	play	VBG	1935
whatever	whatever	WDT	1935
training	training	NN	1930
y	y	NNP	1929
benefits	benefit	NNS	1928
acid	acid	NN	1926
trial	trial	NN	1923
either	either	DT	1922
activities	activity	NNS	1921
security	security	NNP	1914
regions	region	NNS	1914
appropriate	appropriate	JJ	1913
myself	myself	PRP	1911
includes	include	VBZ	1911
initial	initial	JJ	1905
built	build	VBN	1905
yeah	yeah	UH	1903
hot	hot	JJ	1897
papers	papers	NNS	1894
needed	need	VBN	1893
eyes	eye	NNS	1891
speech	speech	NN	1887
find	find	VBP	1887
weight	weight	NN	1884
police	police	NN	1883
modern	modern	JJ	1881
comments	comment	NNS	1880
provides	provide	VBZ	1879
genome	genome	NN	1876
serious	serious	JJ	1875
approximately	approximately	RB	1875
nor	nor	CC	1874
wall	wall	NNP	1874
mail	mail	NN	1865
receptor	receptor	NN	1864
bring	bring	VB	1863
knows	know	VBZ	1861
natural	natural	JJ	1860
writing	write	VBG	1859
lost	lose	VBD	1854
press	press	NN	1852
software	software	NN	1848
standards	standard	NNS	1848
effort	effort	NN	1846
felt	feel	VBD	1844
north	north	NNP	1843
international	international	JJ	1842
fbi	fbus	NNP	1842
exactly	exactly	RB	1840
critical	critical	JJ	1839
lat	lat	NNP	1839
williams	william	NNP	1837
meeting	meeting	NN	1834
unless	unless	IN	1830
countries	country	NNS	1828
james	jame	NNP	1825
general	general	NNP	1817
scene	scene	NN	1816
throughout	throughout	IN	1815
education	education	NN	1813
turned	turn	VBD	1813
drugs	drug	NNS	1811
employees	employee	NNS	1811
us	us	NNP	1810
understand	understand	VB	1809
first	first	RB	1805
budget	budget	NN	1804
published	publish	VBN	1803
n	n	NN	1799
players	player	NNS	1798
cdna	cdna	NN	1796
lead	lead	VB	1795
unit	unit	NN	1792
become	become	VBN	1791
answer	answer	NN	1790
red	red	JJ	1788
post	post	NN	1781
son	son	NN	1781
investigation	investigation	NN	1777
lives	life	NNS	1777
actual	actual	JJ	1776
relatively	relatively	RB	1776
road	road	NN	1773
plans	plan	NNS	1773
simple	simple	JJ	1772
paul	paul	NNP	1772
consider	consider	VB	1771
leave	leave	VB	1771
suggest	suggest	VBP	1769
larger	larger	JJR	1767
designed	design	VBN	1766
pressure	pressure	NN	1763
boston	boston	NNP	1762
style	style	NN	1760
republicans	republican	NNPS	1759
types	type	NNS	1756
set	set	NN	1753
key	key	JJ	1752
event	event	NN	1752
animals	animal	NNS	1751
reasons	reason	NNS	1751
giving	give	VBG	1751
member	member	NN	1749
provided	provide	VBN	1749
mostly	mostly	RB	1748
funny	funny	JJ	1747
choice	choice	NN	1745
pcr	pcr	NNP	1744
base	base	NN	1743
dr	dr	NNP	1741
individuals	individual	NNS	1741
relative	relative	JJ	1738
remains	remain	VBZ	1735
followed	follow	VBN	1734
gives	give	VBZ	1730
calls	call	VBZ	1729
one	one	PRP	1724
guys	guy	NNS	1722
got	get	VBN	1722
girl	girl	NN	1720
energy	energy	NN	1715
picture	picture	NN	1714
federal	federal	NNP	1712
whom	whom	WP	1710
meet	meet	VB	1705
sorry	sorry	JJ	1704
selection	selection	NN	1704
sales	sale	NNS	1702
yesterday	yesterday	NN	1701
trade	trade	NN	1700
la	la	NNP	1700
died	die	VBD	1697
talk	talk	NN	1696
hiv	hiv	NNP	1696
signal	signal	NN	1692
leaders	leader	NNS	1690
start	start	VB	1690
nature	nature	NN	1689
anti	anti	NN	1687
identify	identify	VB	1686
mouse	mouse	NN	1685
believe	believe	VB	1685
europe	europe	NNP	1684
activation	activation	NN	1683
length	length	NN	1683
step	step	NN	1682
knowledge	knowledge	NN	1681
theory	theory	NN	1681
usa	usa	NNP	1681
consistent	consistent	JJ	1678
ita	ita	NN	1677
no	no	RB	1676
direct	direct	JJ	1675
date	date	NN	1675
?g	?g	NN	1674
impact	impact	NN	1671
mrna	mrna	NN	1671
practice	practice	NN	1671
door	door	NN	1669
atlanta	atlanta	NNP	1669
proposed	propose	VBN	1668
democrats	democrat	NNPS	1667
neither	neither	DT	1666
microsoft	microsoft	NNP	1666
east	east	NNP	1660
little	little	RB	1656
island	island	NN	1651
phase	phase	NN	1650
organizations	organization	NNS	1648
ground	ground	NN	1647
call	call	VB	1647
force	force	NN	1646
controls	control	NNS	1645
author	author	NN	1643
responsible	responsible	JJ	1642
tried	try	VBD	1642
annual	annual	JJ	1641
show	show	VB	1639
delivery	delivery	NN	1638
network	network	NN	1635
situation	situation	NN	1634
investors	investor	NNS	1634
kill	kill	VB	1634
e-mail	e-mail	JJ	1630
richard	richard	NNP	1630
column	column	NN	1629
status	status	NN	1629
traditional	traditional	JJ	1628
resources	resource	NNS	1628
added	add	VBD	1626
worth	worth	JJ	1624
tests	test	NNS	1624
findings	finding	NNS	1623
allow	allow	VB	1623
novel	novel	NN	1621
legal	legal	NNP	1618
respectively	respectively	RB	1618
received	receive	VBD	1618
israel	israel	NNP	1617
ok	ok	JJ	1616
overall	overall	JJ	1613
parts	part	NNS	1610
behavior	behavior	NN	1608
fire	fire	NN	1607
?	?	NN	1605
william	william	NNP	1604
treated	treat	VBN	1603
sexual	sexual	JJ	1602
largest	largest	JJS	1600
hands	hand	NNS	1600
fold	fold	VB	1600
growing	grow	VBG	1598
heard	hear	VBN	1598
success	success	NN	1597
reference	reference	NN	1594
al	al	NNP	1594
april	april	NNP	1594
runs	run	VBZ	1589
letter	letter	NN	1587
need	need	NN	1587
attack	attack	NN	1585
analyses	analysis	NNS	1584
fred	fred	NNP	1583
quickly	quickly	RB	1583
elements	element	NNS	1581
schools	school	NNS	1580
dead	dead	JJ	1577
run	run	VB	1576
works	work	VBZ	1575
saturday	saturday	NNP	1574
college	college	NN	1573
department	department	NN	1571
investment	investment	NN	1571
majority	majority	NN	1571
otherwise	otherwise	RB	1571
change	change	VB	1570
worked	work	VBD	1569
politics	politics	NNS	1567
evil	evil	JJ	1565
lawyers	lawyer	NNS	1565
court	court	NNP	1563
older	older	JJR	1562
senior	senior	JJ	1561
genetic	genetic	JJ	1560
